rho_c = 0.0014, P_c = 0.000205407, eps_c = 0.00152633
Scale = 100, Pressure Depletion = 1
finished odeint with kount = 3916, r = 7.78294, and P = 1.40532e-22
Found TOV solution for rho_c = 0.0014
       Mass   = 1.27184
       Radius = 6.44839
       Circ Radius = 7.78294
       Surf Lapse =  0.820471  0.820471  7.78294
#r (iso)        rho          P
4.38755   0.000761553   3.47587e-05
4.39407   0.000759672   3.45219e-05
4.40059   0.000757786   3.42858e-05
4.40711   0.000755898   3.40504e-05
4.41363   0.000754006   3.38157e-05
4.42015   0.00075211   3.35818e-05
4.42667   0.000750211   3.33485e-05
4.43319   0.000748308   3.3116e-05
4.43971   0.000746402   3.28842e-05
4.44623   0.000744493   3.26531e-05
4.45275   0.00074258   3.24227e-05
4.45926   0.000740663   3.2193e-05
4.46578   0.000738743   3.19641e-05
4.4723   0.000736819   3.17359e-05
4.47882   0.000734892   3.15084e-05
4.48534   0.000732961   3.12817e-05
4.49186   0.000731026   3.10557e-05
4.49838   0.000729088   3.08304e-05
4.5049   0.000727146   3.06058e-05
4.51142   0.000725201   3.0382e-05
4.51794   0.000723252   3.01589e-05
4.52446   0.000721299   2.99366e-05
4.53098   0.000719343   2.9715e-05
4.5375   0.000717383   2.94941e-05
4.54402   0.000715419   2.9274e-05
4.55054   0.000713451   2.90546e-05
4.55706   0.00071148   2.88359e-05
4.56357   0.000709505   2.8618e-05
4.57009   0.000707527   2.84009e-05
4.57661   0.000705544   2.81845e-05
4.58313   0.000703558   2.79688e-05
4.58965   0.000701568   2.77539e-05
4.59617   0.000699574   2.75398e-05
4.60269   0.000697576   2.73264e-05
4.60921   0.000695575   2.71137e-05
4.61573   0.000693569   2.69018e-05
4.62225   0.00069156   2.66907e-05
4.62877   0.000689547   2.64803e-05
4.63529   0.00068753   2.62707e-05
4.64181   0.000685509   2.60619e-05
4.64833   0.000683484   2.58538e-05
4.65485   0.000681455   2.56464e-05
4.66137   0.000679422   2.54398e-05
4.66789   0.000677385   2.5234e-05
4.6744   0.000675344   2.5029e-05
4.68092   0.0006733   2.48247e-05
4.68744   0.000671251   2.46212e-05
4.69396   0.000669198   2.44185e-05
4.70048   0.000667141   2.42165e-05
4.707   0.00066508   2.40153e-05
4.71352   0.000663015   2.38149e-05
4.72004   0.000660945   2.36152e-05
4.72656   0.000658872   2.34164e-05
4.73308   0.000656794   2.32183e-05
4.7396   0.000654712   2.30209e-05
