#rho_c = 0.0014, P_c = 0.000236305, eps_c = 0.00153286
#Scale = 100, Pressure Depletion = 1
#finished odeint with kount = 3958, r = 7.8672, and P = 5.03375e-23
#Found TOV solution for rho_c = 0.0014
#       Mass   = 1.41939
#       Radius = 6.36873
#       Circ Radius = 7.8672
#       Surf Lapse =  0.799477  0.799477  7.8672
#r (iso)        rho          P
4.41062   0.000788731   4.09632e-05
4.41706   0.000787021   4.06934e-05
4.42349   0.000785307   4.04243e-05
4.42993   0.000783591   4.01559e-05
4.43637   0.000781871   3.98883e-05
4.44281   0.000780148   3.96215e-05
4.44925   0.000778422   3.93553e-05
4.45569   0.000776693   3.90899e-05
4.46213   0.00077496   3.88253e-05
4.46857   0.000773224   3.85613e-05
4.47501   0.000771485   3.82982e-05
4.48144   0.000769743   3.80357e-05
4.48788   0.000767997   3.77741e-05
4.49432   0.000766248   3.75131e-05
4.50076   0.000764496   3.72529e-05
4.5072   0.00076274   3.69935e-05
4.51364   0.000760981   3.67348e-05
4.52008   0.000759218   3.64769e-05
4.52652   0.000757452   3.62197e-05
4.53296   0.000755683   3.59633e-05
4.53939   0.00075391   3.57076e-05
4.54583   0.000752134   3.54527e-05
4.55227   0.000750354   3.51985e-05
4.55871   0.00074857   3.49451e-05
4.56515   0.000746784   3.46925e-05
4.57159   0.000744993   3.44406e-05
4.57803   0.000743199   3.41895e-05
4.58447   0.000741402   3.39392e-05
4.59091   0.0007396   3.36896e-05
4.59734   0.000737796   3.34409e-05
4.60378   0.000735987   3.31928e-05
4.61022   0.000734175   3.29456e-05
4.61666   0.000732359   3.26991e-05
4.6231   0.00073054   3.24534e-05
4.62954   0.000728716   3.22085e-05
4.63598   0.000726889   3.19643e-05
4.64242   0.000725058   3.17209e-05
4.64885   0.000723224   3.14784e-05
4.65529   0.000721385   3.12365e-05
4.66173   0.000719543   3.09955e-05
4.66817   0.000717696   3.07553e-05
4.67461   0.000715846   3.05158e-05
4.68105   0.000713992   3.02771e-05
4.68749   0.000712134   3.00393e-05
4.69393   0.000710272   2.98022e-05
4.70037   0.000708406   2.95659e-05
